timestamp,pm25,pm10,o3,hour,day,month,pm25_change
2025-07-03 18:04:00,0.0,0.0,0.0,18.0,3.0,7.0,0.0
2025-07-03 18:05:00,0.0,0.0,0.0,18.0,3.0,7.0,0.0
2025-07-03 18:05:00,0.0,0.0,0.0,18.0,3.0,7.0,0.0
2025-07-03 18:06:00,0.0,0.0,0.0,18.0,3.0,7.0,0.0
2025-07-03 18:06:00,0.0,0.0,0.0,18.0,3.0,7.0,0.0
2025-07-03 18:07:00,0.0,0.0,0.0,18.0,3.0,7.0,0.0
2025-07-03 18:07:00,0.0,0.0,0.0,18.0,3.0,7.0,0.0
2025-07-30 12:54:00,0.0,0.0,0.0,12.0,30.0,7.0,0.0
2025-07-30 15:28:00,0.0,0.0,0.0,15.0,30.0,7.0,0.0
2025-07-30 18:37:00,0.0,0.0,0.0,18.0,30.0,7.0,0.0
2025-07-30 01:58:00,0.0,0.0,0.0,1.0,30.0,7.0,0.0
2025-07-30 21:24:00,0.0,0.0,0.0,21.0,30.0,7.0,0.0
2025-07-30 02:05:00,0.0,0.0,0.0,2.0,30.0,7.0,0.0
2025-07-30 04:06:00,0.0,0.0,0.0,4.0,30.0,7.0,0.0
2025-07-30 06:39:00,0.0,0.0,0.0,6.0,30.0,7.0,0.0
2025-07-30 09:33:00,0.0,0.0,0.0,9.0,30.0,7.0,0.0
2025-07-31 12:53:00,0.0,0.0,0.0,12.0,31.0,7.0,0.0
2025-07-31 15:02:00,0.0,0.0,0.0,15.0,31.0,7.0,0.0
2025-07-31 15:27:00,0.0,0.0,0.0,15.0,31.0,7.0,0.0
2025-07-31 18:38:00,0.0,0.0,0.0,18.0,31.0,7.0,0.0
2025-07-31 21:24:00,0.0,0.0,0.0,21.0,31.0,7.0,0.0
2025-07-31 02:04:00,0.0,0.0,0.0,2.0,31.0,7.0,0.0
2025-07-31 04:05:00,0.0,0.0,0.0,4.0,31.0,7.0,0.0
2025-07-31 06:37:00,0.0,0.0,0.0,6.0,31.0,7.0,0.0
